time,T_out,Q_sol,T_Nor,Q_hea_Nor,T_Sou,Q_hea_Sou,T_Eas,Q_hea_Eas,T_Wes,Q_hea_Wes,T_Cor,Q_hea_Cor
100800,287.0213144711652,443.56572355826154,355.77864883914316,5000,345.99107192048274,0,331.93921636095956,5000,375.38311856628036,5000,327.63541979644646,5000
104400,287.9169022863775,488.3451143188753,356.24075703274946,0,346.49005473618297,0,332.3282704806533,0,375.7190980036846,0,330.37043767255943,5000
108000,288.1389430136001,499.4471506800077,356.70970628557586,0,346.86503942895473,0,332.7337689785255,0,375.8563017523172,0,330.67158190840127,0
111600,287.67212423535926,476.1062117679631,360.51159752055787,5000,347.14159376119676,0,335.61368722269845,5000,376.0385557823086,0,333.3222347324159,5000
115200,286.54863880251827,419.93194012591323,360.8257450033313,0,347.52199629567326,0,338.560697381171,5000,380.70244470296666,5000,335.94648927216645,5000
118800,284.845964744395,334.7982372197519,360.8072075857139,0,350.7442867607133,5000,338.7934728066789,0,380.4327013238815,0,338.4148874544697,5000
122400,282.68152221325664,226.57611066283377,364.34947717220274,5000,350.64132138100456,0,338.90156174181857,0,384.7278507518536,5000,340.7286483355902,5000
126000,280.20457593206476,102.72879660323994,367.7567362541883,5000,350.56380532458553,0,338.78634412815035,0,383.97684823157624,0,340.7591397844484,0
129600,277.58594157050516,0.0,367.28863572243716,0,350.3090714013947,0,341.23883127879844,5000,383.1785834736151,0,340.6974952882043,0
133200,275.00620592027724,0.0,366.78831980397604,0,353.06831841510507,5000,341.0926411251831,0,382.3680724263339,0,342.8135321407526,5000
136800,272.6432732322935,0.0,366.37792089981633,0,352.8640903860054,0,340.7960435159563,0,381.5225736380635,0,342.7220684222287,0
140400,270.66009654779884,0.0,369.5335601091553,5000,355.5120528732621,5000,343.1807128137239,5000,380.55835735865395,0,342.64665623437566,0
144000,269.1934400978303,0.0,369.0268507882899,0,358.2140466494006,5000,343.1122081152061,0,379.6968741155934,0,344.77924107161107,5000
147600,268.34444774069556,0.0,368.46137737693107,0,360.9237202139519,5000,345.46242441758466,5000,383.3791148174215,5000,344.64417113581953,0
151200,268.1716678587891,0.0,368.0819725072663,0,360.61427497951854,0,345.30285169886673,0,382.47685363171036,0,344.5729289984995,0
154800,268.6870157332215,0.0,367.61842733672944,0,363.20915379846775,5000,345.02409711311617,0,386.1844134093766,5000,344.4200799588337,0
158400,269.8549518397969,0.0,367.0876656914449,0,362.98640754928186,0,347.44610984619345,5000,389.74923442515166,5000,346.62630398324643,5000
162000,271.59493273285807,0.0,370.2161729670835,5000,362.72480034207274,0,349.7973106789907,5000,388.8192131989159,0,346.4327496472477,0
165600,273.78696549865253,0.0,373.3518257304187,5000,365.3865669523237,5000,352.20727582431704,5000,392.5577336339151,5000,348.6396623848236,5000
169200,276.27988273088414,0.0,376.44104632989723,5000,368.1665496652482,5000,354.5474974400892,5000,391.4531213105608,0,350.68891063202284,5000
172800,278.901767367916,37.58836839580311,379.54040988455785,5000,367.83250214324363,0,356.98316157012704,5000,390.8358951158438,0,350.6829865785757,0
176400,281.4718084718953,166.09042359476823,382.98055815596587,5000,367.7988050153076,0,356.84640125338893,0,390.21796093195314,0,350.7540569405708,0
180000,283.81277034916576,283.13851745828936,386.4376260098371,5000,367.8703834076818,0,359.6465286146248,5000,389.8722354459564,0,350.90600687950104,0
183600,285.76321511396804,380.6607556984041,386.67682003270994,0,368.0015166711067,0,362.4123364142802,5000,394.24966603327897,5000,351.0829923120817,0
187200,287.1886358005215,451.9317900260765,386.7658280319465,0,371.2185432912448,5000,362.6714683944579,0,394.23191573666656,0,351.46873081047227,0
190800,287.9907322595631,492.0366129781562,390.56290525936885,5000,374.6213437221578,5000,365.52442252819407,5000,394.30401182740246,0,351.7524798813281,0
194400,288.1141901530936,498.20950765468075,394.33580729904725,5000,377.8925345718654,5000,368.4682825627114,5000,398.8448644209492,5000,352.20857040343503,0
198000,287.55049555292584,470.02477764629435,398.17477395257055,5000,378.1511237198367,0,371.36615954846405,5000,398.8338369424343,0,354.6928046515434,5000
201600,286.33852207992004,409.4261039960033,401.65553427735443,5000,381.38498231589483,5000,374.0740926493177,5000,398.73491510553833,0,357.29668802377654,5000
205200,284.5618500934908,320.592504674542,401.57136622617276,0,381.4889176738327,0,374.142326259546,0,398.43779510239597,0,359.75852568709695,5000
208800,282.3430028059817,209.65014029908716,401.3659351351708,0,381.2941310326093,0,374.07149519923337,0,402.4382117584415,5000,362.1451511484822,5000
212400,279.83499681215073,84.24984060753651,404.5330976841217,5000,384.1209205185343,5000,373.9259696983784,0,401.5720314404994,0,364.25086943804257,5000
216000,277.21078972785944,0.0,403.84331362960626,0,383.735121007018,0,373.61515393979334,0,405.24136924050754,5000,366.36957026504825,5000
219600,274.65135265203776,0.0,403.1855885913604,0,386.2622233106162,5000,375.93150750577,5000,408.7027626354182,5000,368.49176832341743,5000
223200,272.3331900012105,0.0,406.1017418563021,5000,385.86386452808375,0,378.29995888074427,5000,407.69728277063786,0,368.3277509155916,0
226800,270.41616737627845,0.0,409.02586522212266,5000,385.5270687167319,0,378.0225749870219,0,406.4252628260776,0,370.4384926373399,5000
230400,269.0324868786627,0.0,412.00322913951464,5000,385.1821864025685,0,380.41744864949396,5000,410.06222335074546,5000,372.5200714787869,5000
234000,268.2775701622869,0.0,414.8552977296271,5000,384.8834507283092,0,380.0374355721994,0,413.4200215279492,5000,374.6197102353025,5000
237600,268.20347794620824,0.0,414.2018296672113,0,384.3566282403444,0,382.2879842321111,5000,412.2784202655115,0,376.7022998762933,5000
241200,268.81531979279544,0.0,417.0534508079215,5000,383.94120383881983,0,382.0283963078303,0,415.6944068758803,5000,378.85748127026443,5000
244800,270.0709017410571,0.0,416.22863949603925,0,386.6504882937785,5000,381.79650202346255,0,418.98795164947023,5000,378.5915252550586,0
248400,271.8836360951008,0.0,415.635532783874,0,386.1412461694636,0,383.98329817625864,5000,422.40652821506086,5000,378.5276961672142,0
252000,274.1285127023044,0.0,418.6081688566463,5000,385.8997239760567,0,383.7739663962261,0,425.76536899263726,5000,380.5012419285055,5000
255600,276.6507199287084,0.0,417.8909902628922,0,388.4098143271,5000,386.06860365344164,5000,424.66248660610376,0,380.34639648183884,0
259200,279.27632081018226,56.31604050911309,420.90443116985125,5000,388.19478574407174,0,385.79656451165084,0,428.2154369734297,5000,380.2051935350539,0
262800,281.8242481284734,183.7124064236708,420.48219209970296,0,391.06628891606033,5000,388.2904073795458,5000,427.37678441729275,0,380.2119986471716,0
266400,284.1187912052803,298.43956026401423,423.8584894745911,5000,394.02654051074376,5000,390.8877556186795,5000,431.3461426549736,5000,380.36282986070745,0
270000,286.0017132975359,392.5856648767964,427.2300685302817,5000,397.0656703250844,5000,391.07497560298833,0,435.31457082467057,5000,380.7002948554601,0
273600,287.3431639516406,459.65819758203014,430.7697000994136,5000,400.4099458859735,5000,393.8295657563113,5000,435.0563730763927,0,380.86466499587937,0
277200,288.05063377666755,495.0316888333775,434.50305434721537,5000,400.53836709049335,0,394.1073906563652,0,434.82127118455196,0,381.2131378086392,0
280800,288.07533409566315,496.26670478315856,434.4576038302993,0,400.75339823080327,0,396.87301387440925,5000,438.9890054979359,5000,381.4530423417224,0
284400,287.41556152024043,463.2780760120218,438.05511508523114,5000,403.93830360460186,5000,399.6102127240913,5000,443.2356349488117,5000,381.82304012324084,0
288000,286.1168154199928,398.34077099964145,441.4152127270401,5000,406.97083442141854,5000,399.74156545550363,0,442.68572346444085,0,384.3031304150362,5000
291600,284.2686601857794,305.93300928897355,444.62260465584234,5000,410.013735598144,5000,402.3398333058776,5000,446.5728034300505,5000,386.71670208166665,5000
295200,281.99854867211417,192.42743360571077,444.26620451401334,0,412.8117727455735,5000,404.6792966748682,5000,445.5704493422753,0,386.66145039368274,0
298800,279.46303276767253,65.65163838362676,443.4674217068485,0,412.4151360140568,0,407.0462092496695,5000,448.97852071802754,5000,388.8120707566631,5000
302400,276.8369672323275,0.0,446.21605948475235,5000,414.8614295962636,5000,409.2672201974696,5000,447.5727313501566,0,390.88980923671954,5000
306000,274.3014513278858,0.0,445.45406968961544,0,414.40976664391326,0,411.6635860669987,5000,446.32921791459825,0,393.0274831386006,5000
309600,272.03133981422053,0.0,444.507435548749,0,417.0123537342168,5000,411.13875636729415,0,449.47003304301353,5000,395.2158982574397,5000
313200,270.18318458000715,0.0,447.29078154686806,5000,419.5402345944162,5000,413.3363150948144,5000,448.08332061369566,0,394.9881446946973,0
316800,268.8844384797595,0.0,446.38900013511045,0,422.06549895460364,5000,413.02962353063765,0,451.1794351195509,5000,396.9923526424308,5000
320400,268.2246659043368,0.0,445.5958314722359,0,421.487462928115,0,415.1099411795165,5000,449.7646544048915,0,399.0036791601366,5000
324000,268.2493662233324,0.0,448.27570124465586,5000,423.9713303380316,5000,417.38593233274656,5000,452.8406121855564,5000,398.8345575185413,0
327600,268.9568360483594,0.0,447.4313967913054,0,426.4456447801489,5000,419.6151353701953,5000,451.53536858203597,0,398.6424633078095,0
331200,270.29828670246405,0.0,450.12970553986867,5000,425.8075377596633,0,421.76372518599544,5000,450.11178073943046,0,400.6903941207389,5000
334800,272.1812087947196,0.0,449.19740246899033,0,428.31811708432934,5000,421.4038162083492,0,448.73387970453587,0,402.7665206995912,5000
338400,274.47575187152654,0.0,448.40693510813793,0,430.85451612437265,5000,421.0146479359298,0,451.87412228445515,5000,402.5409919110082,0
342000,277.0236791898177,0.0,451.1432596329043,5000,430.31174296674743,0,423.147874407256,5000,450.5683602141161,0,404.5722696562864,5000
345600,279.6492800712915,74.964003564578,454.0970620609146,5000,432.87023664903035,5000,422.85632984275077,0,453.85943691887417,5000,404.5457209641386,0
349200,282.1714872976955,201.07436488477575,457.0908657767158,5000,432.69854423046837,0,425.20218293572884,5000,452.93775824818505,0,404.51547729314734,0
352800,284.41636390489913,313.31819524495745,460.2886003874459,5000,432.5753436667135,0,425.2042350253098,0,456.7645098963285,5000,404.6896179293278,0
356400,286.2290982589428,403.9549129471421,459.99251793980534,0,432.4901898042734,0,427.92588890463395,5000,456.18881769013456,0,406.9886272147482,5000
360000,287.48468020720446,466.7340103602255,459.81454427924564,0,432.5689111165242,0,427.8986885999729,0,460.1084091192188,5000,407.2070746133451,0
363600,288.0965220537917,497.32610268958763,459.6700378002913,0,435.6903576590279,5000,428.1231030473529,0,464.30329493071343,5000,409.7291107192266,5000
367200,288.02242983771305,493.6214918856532,459.62639137341705,0,438.7752869093274,5000,428.2507584839665,0,468.2922030684271,5000,412.2359887135097,5000
370800,287.26751312133723,455.87565606686366,459.40864768914633,0,441.8299396450267,5000,430.95072363250796,5000,472.200805797155,5000,414.8874805375149,5000
374400,285.8838326237215,386.691631186077,462.6655838853559,5000,441.7328108732253,0,433.48615980295136,5000,471.42117395652156,0,417.1362452660093,5000
378000,283.9668099987895,290.8404999394755,462.3014342905306,0,441.64751746516464,0,435.9697549717064,5000,474.99052997520295,5000,419.49986277832454,5000
381600,281.64864734796225,174.93236739811246,461.58403125853073,0,444.27966082012074,5000,435.78637156825886,0,473.7858623672561,0,419.4985779821196,0
385200,279.0892102721405,46.960513607027416,464.4777632014404,5000,446.7172396297518,5000,435.39718642155344,0,472.46538099076224,0,421.51311870927594,5000
388800,276.4650031878493,0.0,463.5034253275543,0,449.2747193489929,5000,434.99469616546537,0,475.40917576913233,5000,421.20037844790244,0
392400,273.95699719401824,0.0,466.1090943921743,5000,448.5817982327864,0,437.2463423194325,5000,478.3778861255075,5000,421.05066457095114,0
396000,271.73814990650914,0.0,465.1954255729675,0,451.0467793411282,5000,436.85262599295856,0,481.2910916222779,5000,420.7837889987697,0
399600,269.9614779200799,0.0,467.8953481965268,5000,453.4107916623896,5000,438.9563076885411,5000,484.22353938595717,5000,422.8075500092316,5000
403200,268.7495044470741,0.0,470.50081709762713,5000,452.8093760076742,0,438.46261021839933,0,482.56520802740545,0,424.89080127305755,5000
406800,268.18580984690635,0.0,473.1423506839164,5000,455.20112172133486,5000,440.58350936531366,5000,480.8874806658662,0,424.599966773733,0
410400,268.30926774043684,0.0,475.74383633379915,5000,454.4610950496187,0,440.12167571541255,0,483.7462993435921,5000,424.35121018702347,0
414000,269.11136419947843,0.0,478.337407028853,5000,453.8862916739238,0,442.2324379781519,5000,486.5506317597209,5000,426.3976035074304,5000
417600,270.53678488603185,0.0,480.8899337372428,5000,453.36716233689253,0,444.3397616982165,5000,489.4710055352928,5000,428.3821773594031,5000
421200,272.48722965083414,0.0,479.9174584662756,0,455.6456888276661,5000,443.92222295297785,0,492.32465979253334,5000,428.1382995580507,0
424800,274.8281915281046,0.0,478.81359876703164,0,458.05081207406255,5000,443.5223070727155,0,495.07151951488987,5000,430.1507371968821,5000
428400,277.3982326320839,0.0,481.4164844460725,5000,457.49202170486274,0,442.96131641558554,0,497.9210279760015,5000,432.1780498247643,5000
432000,280.02011726911576,93.50586345579029,480.67979931176046,0,459.94374951692794,5000,445.25477759379385,5000,501.0354284856156,5000,431.93639432536406,0
435600,282.5130345013474,218.15172506737207,479.8374031691294,0,459.6326679693873,0,447.63060201338794,5000,504.101342052792,5000,434.2627169455643,5000
439200,284.7050672671419,327.7533633570944,479.47787620416034,0,462.3866566764275,5000,450.07707627407746,5000,507.59607477502715,5000,436.5761552854694,5000
442800,286.44504816020304,414.7524080101544,479.1160198456387,0,462.41212021419483,0,452.6604898376557,5000,506.51968890816244,0,436.65250287814473,0
446400,287.6129842667785,473.14921333892414,482.4655196353035,5000,465.3112265335867,5000,452.7591091394447,0,510.27882157765737,5000,436.82253225943606,0
450000,288.1283321412109,498.91660706054455,485.90918787158256,5000,465.2962634911945,0,455.4833663880767,5000,509.46418136882625,0,437.131982966619,0
453600,287.95555225930445,490.27761296522254,485.6041147930656,0,468.31317432352523,5000,455.5276286024467,0,508.6892433581635,0,439.5855153308254,5000
457200,287.10655990216964,447.8279951084836,488.8867374331842,5000,468.2128566510528,0,455.59020889719227,0,512.1901851432586,5000,442.08590394275615,5000
460800,285.6399034522011,374.49517261005786,491.9962697992074,5000,470.98031426441787,5000,458.0402293404035,5000,511.1204189932523,0,444.3845292770805,5000
464400,283.65672676770646,275.33633838532535,491.34493529957507,0,470.72888678766526,0,457.7699271713501,0,514.3791370392739,5000,444.2201441162044,0
468000,281.2937940797227,157.18970398613777,490.49938938126587,0,473.3399812980942,5000,457.60716351062456,0,512.9135189524425,0,446.432031613923,5000
471600,278.7140584294948,28.202921474740148,489.5839860828341,0,472.68056042441486,0,457.07563289369585,0,515.7200053653982,5000,448.53631512651225,5000
475200,276.09542406793526,0.0,492.1357730806828,5000,472.0209952645916,0,456.6757772582708,0,518.2038221168046,5000,448.2068596279084,0
478800,273.61847778674337,0.0,491.0479720911565,0,474.30252062439996,5000,458.7494334592946,5000,516.5164828385883,0,447.97550486045515,0
482400,271.454035255605,0.0,489.9837678819461,0,476.6985640160604,5000,460.91989318668755,5000,519.0923915964158,5000,449.9177166931215,5000
486000,269.75136119748174,0.0,488.9082922245105,0,479.008696215813,5000,462.9462576602963,5000,521.677655785326,5000,451.9107664857772,5000
489600,268.62787576464075,0.0,491.52227324810735,5000,478.2393675120856,0,462.4894188799719,0,524.2012935022775,5000,451.69109014856474,0
493200,268.16105698639984,0.0,493.9490965873697,5000,480.64617430934743,5000,461.9305688445633,0,522.1928743734021,0,453.52253733400255,5000
496800,268.3830977136225,0.0,496.47009915642724,5000,482.8668471204789,5000,461.44656306912333,0,524.7496750770881,5000,455.5000746755912,5000
500400,269.2786855288347,0.0,499.08787983431915,5000,482.21356349420915,0,463.5177608264642,5000,527.3203681394467,5000,455.209657288061,0
504000,270.7860587242517,0.0,501.50034785876875,5000,484.3651146347253,5000,462.9849773460226,0,529.7656133608211,5000,454.93131637251975,0
507600,272.801265525143,0.0,500.3876624122017,0,486.67963046830624,5000,465.15640190075464,5000,532.3126852105403,5000,456.8019135381034,5000
511200,275.1853328331159,0.0,499.27005648987057,0,489.04392430555527,5000,464.671073203315,0,534.8745502056294,5000,458.89317371041125,5000
514800,277.7738501169936,0.0,501.7792294993913,5000,488.2716424020497,0,466.7203384760628,5000,537.4537665299376,5000,460.72453440002585,5000
518400,280.38830752507,111.91537625350121,504.53870240631886,5000,487.7840091047095,0,468.85058080049487,5000,535.6663727067698,0,460.6439183851672,0
522000,282.8484063175556,234.92031587778214,503.736650843381,0,487.28000200859304,0,468.6089887415087,0,534.1249078331721,0,462.8599012005827,5000
525600,284.9844926646833,341.72463323416366,503.1782007902568,0,487.0187645269527,0,468.55857695254167,0,537.1853653488755,5000,465.13384817198164,5000
529200,286.6492573483798,424.9628674189912,502.6230662982652,0,489.85589789858676,5000,468.432382991418,0,536.102384182955,0,467.4819576319472,5000
532800,287.7278945303136,478.8947265156819,502.331657968678,0,492.7868103686344,5000,471.0848853605325,5000,535.1463784106448,0,467.56923171118314,0
536400,288.14601901530335,499.80095076516824,505.5698791965031,5000,492.7309324532137,0,471.1051175384191,0,534.049454185049,0,469.955446648972,5000
540000,287.874796018171,486.23980090855133,508.9511712096585,5000,492.6189811927811,0,473.71235076369356,5000,537.5977436104879,5000,472.3532310894986,5000
543600,286.93292967402084,439.1464837010433,512.1338717234769,5000,495.43221447287954,5000,473.72222440988367,0,536.5359623499028,0,472.4754697520753,0
547200,285.3853731598968,361.76865799484005,515.0358907694804,5000,498.13182221462876,5000,473.5846259385182,0,539.7101944088703,5000,472.52229690078167,0
550800,283.3388493806692,259.4424690334622,514.2975067038055,0,497.7674359988679,0,475.93290108822885,5000,542.7178322101605,5000,472.3147074342607,0
554400,280.93449112251574,139.22455612578685,513.406002241195,0,497.1864676251449,0,475.62751807555463,0,545.3120577645217,5000,474.58674935646883,5000
558000,278.3381082252175,9.405411260878651,512.224648167748,0,496.500957217427,0,477.5991996984285,5000,547.9563342914978,5000,474.1205489641342,0
561600,275.72875297050166,0.0,511.0515243758169,0,495.80018163512955,0,479.6927871057491,5000,550.3486261104226,5000,476.14626633272945,5000
565200,273.2863722424273,0.0,509.9534817015035,0,494.9659029078343,0,481.76010325768425,5000,552.8332718346851,5000,475.7705672039453,0
568800,271.1793979940254,0.0,512.380460031491,5000,497.2603803516991,5000,481.25384350576576,0,555.1124778164063,5000,475.47410104441985,0
572400,269.5531318089372,0.0,511.1344377552252,0,496.52544639182696,0,480.59524255846935,0,552.8768532097852,0,475.07270884067344,0
576000,268.51972458425837,0.0,510.0105669196,0,498.6953460971002,5000,480.121433110217,0,550.7012691795969,0,477.1071912419055,5000
579600,268.15044235772325,0.0,512.4636311443682,5000,500.8930753495394,5000,479.607592615184,0,553.0742718749482,5000,476.6245001388029,0
583200,268.4707516448182,0.0,511.2868956328155,0,500.1597473899948,0,479.0008240479293,0,555.4014161226477,5000,478.5908143585202,5000
586800,269.4585632117971,0.0,510.09091469733556,0,499.3419817473405,0,478.4774911677639,0,557.5854189032651,5000,478.1853699957474,0
590400,271.0457553978803,0.0,509.0055166867342,0,501.5422086215982,5000,480.4651095984243,5000,555.3330933706076,0,480.1384662858406,5000
594000,273.122871934983,0.0,511.3174309945676,5000,500.89997910368504,0,482.6031991927761,5000,553.2415508574122,0,482.1944782038449,5000
597600,275.5466702929804,0.0,510.2901079432041,0,500.04623610439677,0,481.89529152042627,0,555.7626835584524,5000,481.67313310034854,0
601200,278.15,0.0,512.6344534102359,5000,499.3695011684328,0,481.61792593553133,0,558.0895535669599,5000,481.43740540205005,0
